ID,Feature/Area,Edge Case,Expected Behavior
EC-01,Create Goal - Name,Submit the form with the goal name left blank,"Submission is blocked; ""Give your goal a name."" is shown under the Name field."
EC-02,Create Goal - Name,Enter only spaces as the goal name,"Treated as empty after trimming; the same ""Give your goal a name."" error is shown and submission is blocked."
EC-03,Create Goal - Name,"Enter a name with leading/trailing spaces (e.g. ""  Dubai Trip  "")","Name is trimmed before saving; ""Dubai Trip"" is shown with no extra spaces on the Plan and Goal screens."
EC-04,Create Goal - Amount,Submit the form with the amount field left blank,"Submission is blocked; ""Enter an amount greater than ₹0."" is shown."
EC-05,Create Goal - Amount,"Enter ""0"" as the target amount","Rejected as not greater than ₹0; the same amount error is shown."
EC-06,Create Goal - Amount,"Type letters, symbols, or a decimal point into the amount field (e.g. ""10a.5b"")","Non-numeric characters are silently discarded as they are typed, leaving only digits (e.g. ""105""); decimal amounts are not supported."
EC-07,Create Goal - Amount,"Enter an amount with leading zeros (e.g. ""00500"")",Interpreted as 500; plan and progress figures calculate correctly.
EC-08,Create Goal - Amount,Enter an extremely large amount (15+ digits),Value is accepted with no upper bound and may lose numeric precision or display an unwieldy currency figure on later screens.
EC-09,Create Goal - Dates,Leave both date fields at their defaults (today and today + 30 days) and submit,Form submits successfully and produces a 30-day plan.
EC-10,Create Goal - Dates,Set the target date equal to the start date,"Blocked; ""Target date must be after your start date."" is shown."
EC-11,Create Goal - Dates,"Pick a target date first, then move the start date to on/after that target date",Submission stays blocked with the dates error until the target date is corrected manually - it is not auto-adjusted when the start date changes.
EC-12,Create Goal - Dates,Set the start date to a date in the past,Allowed; the plan is calculated using the longer elapsed period from the past start date to the target date.
EC-13,Create Goal - Dates,Set the target date to exactly one day after the start date (minimum allowed gap),Passes validation; Plan screen shows a 1-day / 1-week / 1-month plan for the full amount.
EC-14,Create Goal - Form,"Leave name, amount, and dates all invalid at once and submit",All relevant field errors display together; nothing is saved and the user remains on the form.
EC-15,Plan - Guard,Reach the Plan screen with no goal data set (e.g. app reload while on this screen),User is automatically redirected to the Home screen instead of seeing a broken plan.
EC-16,Plan - Pace Options,Build a plan for a goal due the very next day,"Daily pace shows 1 contribution of the full amount; monthly pace also shows the full amount due ""in 1 month"" even though only 1 day remains, since the plan enforces a 1-month minimum."
EC-17,Plan - Pace Options,Build a plan spanning several years,Daily/weekly/monthly contribution counts scale up correctly and remain readable.
EC-18,Plan - Pace Options,Target amount that does not divide evenly across the chosen period,"Each pace amount is rounded up to the nearest rupee, so the sum of all scheduled contributions can slightly exceed the target amount rather than fall short."
EC-19,Plan - Pace Options,"Start date on the 31st of a month with a target date in a shorter following month (e.g. 31 Jan to 28 Feb)","Monthly count accounts for the target day not yet being ""reached"" in the cycle, reducing the month count by one versus a naive calendar subtraction."
EC-20,Plan - Pace Selection,Tap Start Goal without selecting a daily/weekly/monthly pace,Button remains disabled and does not respond to taps.
EC-21,Plan - Pace Selection,"Select one pace card, then tap a different one before confirming",Only the most recently selected card stays checked; that pace is the one used when Start Goal is tapped.
EC-22,Goal - Guard,"Reach the Goal screen without having started a goal (e.g. app reload, or navigating back after a reset)",User is automatically redirected to the Home screen.
EC-23,Goal - Contribution,Tap Confirm with the contribution amount left blank,"""Enter an amount greater than ₹0."" error is shown; no contribution is recorded."
EC-24,Goal - Contribution,"Enter ""0"" as the contribution amount",Rejected by the same greater-than-₹0 check; no contribution is recorded.
EC-25,Goal - Contribution,Type non-numeric characters into the contribution amount field,Non-digit characters are silently discarded as they are typed.
EC-26,Goal - Contribution,Add a contribution that exactly equals the remaining amount,"Saved amount reaches the target exactly; progress and all four milestones show 100% unlocked, and the completion card (trophy icon, ""Goal achieved"" heading, congratulatory message, Share Your Win) replaces the header instead of a milestone celebration banner."
EC-27,Goal - Contribution,Add a contribution larger than the remaining amount (overshoot),"Progress, milestone unlock states, and the completion card all treat this as exactly 100% - no milestone or progress value ever exceeds 100%, even though the displayed ""Saved"" amount itself is not capped and can exceed the goal amount."
EC-28,Goal - Contribution,"Open the contribution form, type a value, then tap Cancel",Form closes without saving; reopening Add Contribution starts blank with no leftover value or error.
EC-29,Goal - Contribution,Add several contributions one after another,"Each confirmed contribution adds to the running saved total; the progress bar, percentage, milestone markers/list, and motivational message all update after every confirmation, with a celebration banner appearing only the first time a new milestone is crossed."
EC-30,Goal - Progress,Goal reaches 100% complete,"Add Contribution button and the regular name/saved-amount header are both hidden, replaced by the goal completion card; no further contributions are possible from the UI."
EC-31,Navigation/State,Create a new goal while a previous goal already has saved progress,"Starting a new goal fully resets pace, contribution amount, saved amount, started status, and gamification state (highestMilestoneSeen back to 0, no pending celebration) - prior progress and unlocked milestones are discarded, not carried over."
EC-32,Navigation/State,"Navigate back from Goal to Plan, then tap Start Goal again","A new Goal screen is pushed on top of the previous one, so the back stack accumulates duplicate Plan/Goal entries rather than reusing the existing screen."
EC-33,Navigation/State,Reload the app or trigger a live/dev refresh mid-flow,"All goal data - including milestone/celebration state - is held in memory only with no persistence; state resets to empty and the active screen's guard redirects back to Home."
EC-34,Goal - Milestones,Add a contribution that brings saved amount to exactly 25% / 50% / 75% of the target,"That milestone immediately shows as completed (green checkmark marker on the progress track and in the Milestones list), and a one-time ""Milestone unlocked"" celebration banner names it (e.g. ""Halfway There"")."
EC-35,Goal - Milestones,A single contribution moves progress from below 25% to above 75% (e.g. 10% -> 80%),"25%, 50%, and 75% all show unlocked in the milestone track/list, but only ONE celebration banner appears - for the highest newly crossed milestone (Almost There / 75%) - not three sequential popups."
